"countryname","country","election","pec","party1","party2","threshold","incompatibility","polarization","average_magnitude","seatshare1","seatshare2","seatlag1","seatlag2","per_vote1","per_vote2","votelag1","votelag2","in_govt2","in_govt1","enep","twoparty","ident","caseID","iso3","edate","year","electionId","pecId","party1Name","party1Fam","party2Name","party2Fam","sameFamily","party1pos","party2pos","govCoalition","distance","enep2","polarization2"
"Australia",1,631130,0,63810,63320,35,2.40000009536743,13.6999998092651,1,0.159999996423721,0.409999996423721,0.140000000596046,0.490000009536743,8.9399995803833,45.4700012207031,8.51000022888184,47.9000015258789,0,1,2.78999996185303,NA,1631130,4,36,1963-11-30,1963,"36.1963-11-30",6381063320,"CP Country Party",80,"ALP Australian Labor Party",30,0,0.166613578796387,-0.346528589725494,0,0.513142168521881,2.79437952887029,0.0220734010749351
"Australia",1,631130,0,63810,63330,35,15.3999996185303,13.6999998092651,1,0.159999996423721,0,0.140000000596046,0,8.9399995803833,7.44000005722046,8.51000022888184,7.6100001335144,1,1,2.78999996185303,NA,1631130,5,36,1963-11-30,1963,"36.1963-11-30",6381063330,"CP Country Party",80,"DLP Democratic Labor Party",30,0,0.166613578796387,0.360331952571869,1,0.193718373775482,2.79437952887029,0.0220734010749351
"Australia",1,631130,1,63810,63620,35,29.1000003814697,13.6999998092651,1,0.159999996423721,0.430000007152557,0.140000000596046,0.370000004768372,8.9399995803833,37.0900001525879,8.51000022888184,33.5800018310547,0,1,2.78999996185303,1,1631130,6,36,1963-11-30,1963,"36.1963-11-30",6381063620,"CP Country Party",80,"LPA Liberal Party of Australia",60,0,0.166613578796387,-0.313245177268982,0,0.479858756065369,2.79437952887029,0.0220734010749351
"Australia",1,661126,0,63330,63320,35,21.3999996185303,5.30000019073486,1,0,0.330000013113022,0,0.409999996423721,7.30999994277954,39.9799995422363,7.44000005722046,45.4700012207031,0,0,2.98000001907349,NA,1661126,1,36,1966-11-26,1966,"36.1966-11-26",6333063320,"DLP Democratic Labor Party",30,"ALP Australian Labor Party",30,1,1.92637896537781,3.7350742816925,1,1.8086953163147,2.97611845943826,0.142302721655597
"Australia",1,661126,0,63620,63320,35,5.30000019073486,5.30000019073486,1,0.490000009536743,0.330000013113022,0.430000007152557,0.409999996423721,40.1399993896484,39.9799995422363,37.0900001525879,45.4700012207031,0,1,2.98000001907349,NA,1661126,2,36,1966-11-26,1966,"36.1966-11-26",6362063320,"LPA Liberal Party of Australia",60,"ALP Australian Labor Party",30,0,0.604517579078674,3.7350742816925,0,3.13055670261383,2.97611845943826,0.142302721655597
"Australia",1,661126,0,63620,63330,35,26.7000007629395,5.30000019073486,1,0.490000009536743,0,0.430000007152557,0,40.1399993896484,7.30999994277954,37.0900001525879,7.44000005722046,0,1,2.98000001907349,NA,1661126,3,36,1966-11-26,1966,"36.1966-11-26",6362063330,"LPA Liberal Party of Australia",60,"DLP Democratic Labor Party",30,0,0.604517579078674,1.92637896537781,0,1.32186138629913,2.97611845943826,0.142302721655597
"Australia",1,661126,0,63810,63320,35,28.2999992370605,5.30000019073486,1,0.170000001788139,0.330000013113022,0.159999996423721,0.409999996423721,9.84000015258789,39.9799995422363,8.9399995803833,45.4700012207031,1,1,2.98000001907349,NA,1661126,4,36,1966-11-26,1966,"36.1966-11-26",6381063320,"CP Country Party",80,"ALP Australian Labor Party",30,0,1.33629894256592,3.7350742816925,1,2.39877533912659,2.97611845943826,0.142302721655597
"Australia",1,661126,0,63810,63330,35,23,5.30000019073486,1,0.170000001788139,0,0.159999996423721,0,9.84000015258789,7.30999994277954,8.9399995803833,7.44000005722046,0,1,2.98000001907349,NA,1661126,5,36,1966-11-26,1966,"36.1966-11-26",6381063330,"CP Country Party",80,"DLP Democratic Labor Party",30,0,1.33629894256592,1.92637896537781,0,0.59008002281189,2.97611845943826,0.142302721655597
"Australia",1,661126,1,63810,63620,35,1.60000002384186,5.30000019073486,1,0.170000001788139,0.490000009536743,0.159999996423721,0.430000007152557,9.84000015258789,40.1399993896484,8.9399995803833,37.0900001525879,0,1,2.98000001907349,1,1661126,6,36,1966-11-26,1966,"36.1966-11-26",6381063620,"CP Country Party",80,"LPA Liberal Party of Australia",60,0,1.33629894256592,0.604517579078674,0,0.731781363487244,2.97611845943826,0.142302721655597
"Australia",1,691025,0,63330,63320,35,45.2000007629395,24.7999992370605,1,0,0.469999998807907,0,0.330000013113022,6.01999998092651,46.9500007629395,7.30999994277954,39.9799995422363,0,0,2.82999992370605,NA,1691025,1,36,1969-10-25,1969,"36.1969-10-25",6333063320,"DLP Democratic Labor Party",30,"ALP Australian Labor Party",30,1,0.324454069137573,3.42155146598816,1,3.09709739685059,2.83838367048628,0.131985399451655
